iter	Passed	Remaining
0	158	158431
1	173	86741
2	183	60823
3	189	47268
4	196	39101
5	201	33388
6	212	30118
7	217	27012
8	221	24427
9	225	22311
10	228	20561
11	232	19182
12	236	17925
13	239	16886
14	236	15534
15	241	14843
16	248	14355
17	254	13910
18	260	13441
19	265	13028
20	270	12593
21	275	12237
22	281	11963
23	286	11649
24	290	11339
25	293	10998
26	297	10703
27	299	10409
28	303	10154229	307	9940
30	310	9699
31	314	9499
32	317	9294333	320	9105334	323	8925335	326	8749336	330	8595337	335	8482338	338	8333339	341	8196440	344	8052441	347	7936442	352	7841443	355	771344	353	7501
45	356	7399
46	360	7314
47	363	7215
48	369	7178
49	372	7079
50	375	6988
51	378	6897
52	382	6831
53	385	6752
54	388	6681
55	391	6602
56	395	6543
57	399	6481
58	401	6409
59	404	6343
60	407	6278
61	411	6228
62	414	6167
63	418	6119
64	421	6063
65	425	6022
66	429	5978
67	432	5921
68	435	5877
69	440	5850
70	443	5808
71	446	5760
72	449	5709
773	457	5719774	460	5676775	463	5632776	466	5587777	470	5564778	474	5530779	477	549380	477	5414
881	484	5423882	487	53848883	499	5448484	502	5408585	506	5388686	510	5368787	514	5328888	517	5298989	521	5279090	524	5249191	528	5219292	530	5179393	535	5169494	539	5139595	542	5109696	545	5079797	550	5069898	553	5049999	557	50110100	560	49810101	565	49710102	568	49410103	570	49110104	574	48910105	577	48710106	581	48510107	584	48210108	588	48010109	591	47811110	594	47611111	597	473112	585	4593
113	588	4571
114	591	4550
115	594	4534
116	598	4514
11117	617	46111118	620	45911119	623	457120	611	4445
121	616	4433
122	620	4422
123	623	4403
12124	639	44712125	642	445126	632	4345
127	635	4329
128	639	4317
129	643	4307
130	646	4288
131	649	4273
132	653	4258
13133	669	43213134	673	43113135	676	42913136	679	42713137	682	42613138	688	42613139	691	424140	681	4153
141	684	4137
142	687	4122
143	690	4105
144	693	4090
145	696	4076
146	701	4070
147	704	4053
148	707	4039
149	710	4027
150	713	4011
151	716	3999
152	720	3988
153	723	3974
154	726	3960
155	730	3954
156	733	3939
157	736	3925
158	739	3911
159	745	3912
160	748	3900
161	751	3888
162	754	3874
163	759	3872
164	762	3859
165	765	3845
166	768	3833
167	773	3828
168	776	3817
169	779	3804
170	782	3791
171	787	3790
172	790	3779
173	793	3768
174	796	3755
175	799	3745
176	803	3734
177	806	3723
178	809	3711
179	812	3701
180	816	3693
181	818	3679
182	821	3668
183	824	3655
184	828	3651
185	831	3640
186	834	3630
187	837	3616
188	842	3613
189	845	3602
190	848	3591
191	851	3583
192	856	3579
193	858	3567
194	861	3556
195	864	3546
196	868	3540
197	871	3531
198	875	3523
199	877	3511
200	880	3501
201	883	3491
202	887	3483
203	890	3474
204	893	3464
205	896	3455
206	899	3444
2207	916	34882208	919	34812209	925	34802210	927	34702211	930	3459212	919	3396
213	924	3393
214	926	3383
215	930	3376
216	933	3367
217	937	3362
218	940	3352
219	942	3342
220	945	3333
221	949	3326
222	951	3316
223	954	3308
224	957	3298
225	960	3289
2226	979	33342227	982	3326228	970	3266
229	973	3258
2230	991	33012231	995	32942232	997	32832233	1000	32723234	1003	32235235	1007	3236	236	1010	237	9237	1014238	10238	1017239	10239	1022240	10240	1025241	10241	1028	3222
242	1031243	10243	1036244	10244	1039245	10245	1042246	10246	1045247	10247	1049	3183
248	1053	3176
249	1057	3171
250	1060	3164
251	1063	3158
252	1066	3149
253	1069	3142
254	1073	3135
